,Unnamed: 0,ID,NAME,PARENT_ID,LOGIN,COL_754,COL_755,COL_756,COL_757,COL_758,COL_759,COL_760,COL_761,COL_762,COL_763,COL_764,COL_765,COL_766,COL_767,COL_769,COL_770,COL_771,COL_772,COL_775,COL_781,COL_782,COL_2156,COL_2463,COL_3163,COL_3243,COL_3363,COL_3468,COL_103506
0,0,,,,,Назначение,Форма собственности,Год постройки,Год реконструкции,Серия проекта,Количество этажей,Количество подъездов,Количество квартир,Общая площадь,Общая площадь жилых помещений,Общая площадь нежилых помещений,Строительный объем,Износ объекта (по БТИ),Класс энергоэффективности,Материал стен,Признак аварийности здания,Количество пассажирских лифтов,Количество грузопассажирских лифтов,Очередность уборки кровли,Материал кровли,UNOM,Вид социального объекта,Тип жилищного фонда,Статус МКД,Статус управления МКД,Количество грузовых лифтов,Причина Изменения Статуса МКД,Категория МКД
1,1,1500923.0,КРАСКОВСКАЯ 121А,,WS,,,1956,,2048798,1,2,1,76,76,0,,,,179625102,22728486,0,0,,22289204,49928,,22741963,58761330,,0,,
2,2,1500933.0,БАЙКАЛЬСКАЯ 18,,WS,,,2005,,2048798,18,2,148,8266,8220,46,,,,179625111,22728486,2,2,,22289201,64148,,42875644,58761330,45063584,0,,
3,3,1500943.0,ПЕРОВСКАЯ 48,,WS,,,1955,,2048912,4,2,20,1240,1070,170,,,,179625102,22728486,0,0,22289162,22289204,19485,,42875644,58761330,45063584,0,,
4,4,1500951.0,"Дом по адресу Парковая 3-я ул., д.39, к.3",,404070001,,,1960,,2048912,5,3,60,2518,2492,26,,,,179625102,22728486,0,0,22289162,22289201,18533,,42875644,58761330,45063584,0,,
6,6,1500958.0,КУСКОВСКАЯ 23,,WS,,,1968,,2048912,5,4,64,4133,2697,1436,,,,179625102,22728486,0,0,22289163,22289201,12331,,42875644,58761330,45063584,0,,
7,7,1500966.0,"Дом по адресу Прядильная 3-я ул., д.18А",,404070001,,,1960,,2048912,5,4,80,3645,3385,260,,,,179625102,22728486,0,0,22289163,22289205,21174,,42875644,58761330,45063584,0,,
8,8,1500970.0,КУСКОВСКАЯ 25,,WS,,,1972,,179773920,5,4,80,3404,3404,0,,,,179625102,22728486,0,0,22289163,22289201,12336,,42875644,58761330,45063584,0,,
11,11,1501015.0,ЛУХМАНОВСКАЯ 13,,404080001,,,2006,,2048863,24,1,182,8924,8521,403,,,,2048929,22728486,2,2,,22289201,240121,,42875644,58761330,45063584,0,,
12,12,1501019.0,"Дом по адресу Владимирская 2-я ул., д.9Г",,404120001,,,1963,,2048755,5,4,80,3556,3536,20,,,,2048929,22728486,0,0,22289163,22289201,4040,,42875644,58761330,45063584,0,,
13,13,1501028.0,НОВОКОСИНСКАЯ 37,,WS,,,1987,,2048777,17,3,196,11335,10875,460,,,,2048929,22728486,3,3,,22289201,16554,,42875644,58761330,45063584,0,,
14,14,1501034.0,БОЙЦОВАЯ 11,,404010001,,,1962,,2048755,5,4,80,3516,3510,6,,,,2048929,22728486,0,0,22289162,22289201,2345,,42875644,58761330,45063584,0,,
15,15,1501036.0,ЛУХМАНОВСКАЯ 11,,404080001,,,2007,,2048863,24,1,184,9104,8525,579,,,,2048929,22728486,2,2,,22289201,240146,,42875644,58761330,45063584,0,,
16,16,1501045.0,НИКОЛАЯ СТАРОСТИНА 5,,404110001,,,1997,,2048842,7,9,159,11405,10631,774,,,,2048929,22728486,9,0,,22289201,80041,,42875644,58761330,45063585,0,,
18,18,1501073.0,ФРЯЗЕВСКАЯ 15,,WS,,,1970,,2048759,14,1,98,4239,4239,0,,,,179625090,22728486,2,0,,22289201,27715,,42875644,58761330,45063584,0,,
20,20,1501079.0,ЛЕНИНОГОРСКАЯ 6,,WS,,,1918,,2048798,1,4,3,199,199,0,,,,2048931,22728486,0,0,,22289204,50304,,22741963,58761330,,0,,
21,21,1501086.0,БОЛЬШАЯ ЧЕРКИЗОВСКАЯ 22,,404130001,,,1966,,2048798,5,3,60,2484,2484,0,,,,179625102,22728486,0,0,22289163,22289201,28592,,42875644,58761330,45063584,0,,
22,22,1501095.0,БРАТСКАЯ 23,,WS,,,1966,,2048755,5,6,118,5182,5151,31,,,,2048929,22728486,0,0,22289163,22289201,2780,,42875644,58761330,45063584,0,,
23,23,1501097.0,НОВОКОСИНСКАЯ 49,,WS,,,1987,,2048777,17,4,264,15040,14567,473,,,,2048929,22728486,4,4,,22289201,16564,,42875644,58761330,45063584,0,,
24,24,1501118.0,ГОРЫ 23,,404150001,,,1959,,2048912,5,3,45,2532,2405,127,,,,179625102,22728486,0,0,22289163,22289204,24160,,42875644,58761330,45063584,0,,
25,25,1501127.0,СУВОРОВСКАЯ 2/1,,WS,,,1928,,2048798,5,5,50,4237,3581,656,,,,179625102,22728488,0,0,,22289204,6309,,30034032,58761330,,0,,
26,26,1501129.0,ПЕХОРСКАЯ 27,,WS,,,2010,,2048798,2,1,1,229,229,0,,,,179625090,22728486,0,0,,22289214,260035,,22741963,58761330,,0,,
27,27,1501135.0,ВЕШНЯКОВСКАЯ 25/2,,WS,,,1973,,2048789,12,4,428,17611,17583,28,,,,179625090,22728486,4,4,,22289201,3805,,42875644,58761330,45063585,0,,
30,30,1501160.0,"Дом по адресу Владимирская 2-я ул., д.56",,WS,,,1961,,56183261,5,4,74,3408,3160,248,,,,179625102,22728486,0,0,22289163,22289201,4094,,42875644,58761330,45063584,0,,
33,33,1501176.0,КУСКОВСКАЯ 23,,WS,,,1964,,2048912,5,3,60,2611,2590,21,,,,2048929,22728486,0,0,22289163,22289201,12334,,42875644,58761330,45063584,0,,
34,34,1501181.0,ИВАНТЕЕВСКАЯ 1,,404010001,,,1968,,56183245,9,1,72,3140,3074,66,0,0,,179625102,22728486,1,0,,22289201,20151,,42875644,58761330,45063584,0,,
35,35,1501186.0,НОВОГИРЕЕВСКАЯ 39,,WS,,,1952,,2048912,5,3,60,3566,2999,567,0,0,,179625102,22728486,0,0,22289162,22289204,16490,,42875644,58761330,45063584,0,,
36,36,1501199.0,МУРОМСКАЯ 26,,WS,,,2009,,2048798,1,2,1,318,318,0,,,,179625091,22728486,0,0,,22289204,260020,,22741963,58761330,,0,,
37,37,1501200.0,НИКИТИНСКАЯ 31,,404140001,,,1961,,2048912,5,3,60,2535,2513,22,,,,179625102,22728486,0,0,22289163,22289201,16198,,42875644,58761330,45063584,0,,
38,38,1501211.0,ОРАНЖЕРЕЙНАЯ 6,,adm20180821,Нет техпаспорта МосгорБТИ,,1947,,2048798,1,1,1,24,24,0,,,,2048931,22728486,0,0,,22289204,50302,,42875644,41321872,,0,,
39,39,1501214.0,АЛТАЙСКАЯ 9,,WS,,,1978,,2048755,9,8,287,14247,14239,8,,,,2048929,22728486,8,0,,22289201,369,,42875644,58761330,45063584,0,,
40,40,1501220.0,"Дом по адресу Парковая 5-я ул., д.28",,404070001,,,1963,,56183255,5,2,40,1844,1580,264,,,,179625102,22728486,0,0,22289163,22289201,18586,,42875644,58761330,45063584,0,,
41,41,1501255.0,ФОРТУНАТОВСКАЯ 11,,404150001,,,1960,,2048912,5,4,79,4096,3344,752,,,,179625102,22728486,0,0,22289163,22289205,27586,,42875644,58761330,45063584,0,,
42,42,1501256.0,ИВАНТЕЕВСКАЯ 3,,404010001,,,1964,,2048912,5,3,64,4187,2727,1460,0,0,,179625102,22728486,0,0,22289162,22289201,20162,,42875644,58761330,45063584,0,,
43,43,1501266.0,БОЛЬШАЯ КОСИНСКАЯ 9,,WS,,,1936,,2048798,1,3,2,171,171,0,,,,2048931,22728486,0,0,,22289205,50123,,22741963,58761330,,0,,
45,45,1501279.0,БОЛЬШАЯ КОСИНСКАЯ 26Б,,WS,,,1922,,2048798,1,2,1,41,41,0,,,,2048931,22728486,0,0,,22289204,50135,,22741963,58761330,,0,,
49,49,1501294.0,КРАСНОСОЛНЕЧНАЯ 34,,WS,,,1936,,2048798,1,3,3,158,158,0,,,,2048931,22728486,0,0,,22289205,50364,,22741963,58761330,,0,,
52,52,1501312.0,БОЛЬШАЯ СЕМЕНОВСКАЯ 27,,404150001,,,1971,,2048798,12,1,84,4914,3832,1082,,,,179625102,22728486,2,0,,22289201,23361,,42875644,58761330,45063584,0,,
53,53,1501318.0,"Дом по адресу Парковая 5-я ул., д.64, к.4",,404140001,,,1961,,2048912,5,3,70,4343,3572,771,,,,179625102,22728486,3,0,22289163,22289204,18636,,42875644,58761330,45063585,0,,
54,54,1501351.0,МУРОМСКАЯ 51,,operator2,,,1959,,2048912,1,2,2,91,91,0,,,,179625119,22728486,0,0,,22289205,15360,,42875644,58761330,226721963,0,обращение МЖИ от 22.10.2020г.,
55,55,1501352.0,СТАЛЕВАРОВ 10,,WS,,,1972,,2048781,9,10,358,16782,16782,0,,,,2048929,22728486,10,0,,22289201,24598,,42875644,58761330,45063584,0,,
57,57,1501366.0,КЕТЧЕРСКАЯ 8,,WS,,,1971,,2048781,9,8,287,14312,14312,0,,,,2048929,22728486,8,0,,22289201,10013,,42875644,58761330,45063584,0,,
58,58,1501369.0,"Дом по адресу Прядильная 3-я ул., д.15",,404070001,,,1960,,2048912,5,4,74,3451,3138,313,,,,179625102,22728486,0,0,22289162,22289204,21170,,42875644,58761330,45063584,0,,
59,59,1501378.0,БУРАКОВА 5,,404150001,,,1965,,56183255,12,1,84,3682,3614,68,,,,179625090,22728486,2,0,,22289201,2995,,42875644,58761330,45063584,0,,
60,60,1501380.0,МАЯ 20А,,404040001,,,1963,,2048912,4,3,48,2581,2052,529,,,,179625102,22728486,0,0,22289163,22289205,6340,,42875644,58761330,45063584,0,,
62,62,1501404.0,МЕТАЛЛУРГОВ 12,,404120001,,,1965,,2048755,5,4,80,3528,3528,0,,,,2048929,22728486,0,0,22289162,22289201,14223,,42875644,58761330,45063584,0,,
65,65,1501441.0,МЕТАЛЛУРГОВ 37Б,,404120001,,,1961,,2048912,5,3,60,3025,2500,525,,,,179625102,22728486,0,0,22289162,22289205,14252,,42875644,58761330,45063584,0,,
66,66,1501455.0,ОРЕНБУРГСКАЯ 24,,404080001,,,1977,,2048912,5,5,100,4535,4535,0,,,,179625102,22728486,0,0,22289163,22289201,17686,,42875644,58761330,45063584,0,,
67,67,1501461.0,ИВАНТЕЕВСКАЯ 16/18,,404010001,,,1959,,2048912,5,5,73,4172,4020,152,0,0,,179625102,22728486,0,0,22289162,22289204,260104,,42875644,58761330,45063584,0,,
69,69,1501483.0,ПОСЕЛКОВАЯ 13,,WS,,,1936,,2048798,1,2,2,110,110,0,,,,2048931,22728486,0,0,,22289204,49813,,22741963,58761330,,0,,
70,70,1501490.0,КАМОВА 20,,WS,,,1921,,2048798,1,3,2,246,246,0,,,,2048932,22728486,0,0,,22289204,50340,,22741963,58761330,,0,,
71,71,1501491.0,БОЛЬШАЯ КОСИНСКАЯ 65,,adm20180821,Нет техпаспорта МосгорБТИ,,1917,,2048798,1,1,1,71,71,0,,,,2048931,22728486,0,0,,22289204,11152,,42875644,41321872,,0,,
72,72,1501499.0,"Дом по адресу Прядильная 3-я ул., д.6",,404070001,,,1960,,2048912,5,3,45,2938,2450,488,,,,179625102,22728486,0,0,22289163,22289204,21159,,42875644,58761330,45063584,0,,
73,73,1501507.0,ЗВЕРИНЕЦКАЯ 6,,404150001,,,1963,,2048752,5,4,80,4114,3423,691,,,,179625102,22728486,0,0,22289163,22289201,8215,,42875644,58761330,45063584,0,,
74,74,1501512.0,ПЕРВОМАЙСКАЯ 107,,404030001,,,1953,,2048912,5,3,40,2622,2105,517,,,,179625102,22728486,2,0,22289163,22289204,19214,,42875644,58761330,45063584,0,,
75,75,1501513.0,СУЗДАЛЬСКАЯ 14,,WS,,,1995,,2048777,14,5,275,15518,15404,114,,,,2048929,22728486,5,5,,22289201,61193,,42875644,58761330,45063584,0,,
77,77,1501526.0,ГОРОДЕЦКАЯ 8,,WS,,,1987,,2048779,17,2,135,7423,7374,49,,,,2048929,22728486,2,2,,22289201,5749,,42875644,58761330,45063584,0,,
78,78,1501528.0,РУДНЕВКА 17,,404080001,,,2005,,2048825,14,4,212,11996,11856,140,,,,2048929,22728486,4,4,,22289201,240057,,42875644,58761330,45063584,0,,
79,79,1501545.0,СНАЙПЕРСКАЯ 6,,WS,,,1970,,56183244,9,4,143,7487,7487,0,,,,2048929,22728486,4,0,,22289201,24036,,42875644,58761330,45063584,0,,
80,80,1501546.0,МИХЕЛЬСОНА 23А,,adm20180821,Нет техпаспорта МосгорБТИ,,1928,,2048798,1,2,1,51,51,0,,,,2048931,22728486,0,0,,22289204,49608,,42875644,41321872,,0,,
81,81,1501547.0,ПЕРВОМАЙСКАЯ 113,,404030001,,,1956,,2048912,5,5,58,5195,4153,1042,,,,179625102,22728486,0,0,22289163,22289204,19218,,42875644,58761330,45063584,0,,
82,82,1501550.0,КАСКАДНАЯ 28А,,adm20180821,Нет техпаспорта МосгорБТИ,,1957,,2048798,1,2,2,68,68,0,,,,2048931,22728486,0,0,,22289206,49649,,42875644,41321872,,0,,
83,83,1501554.0,ЧЕЛЯБИНСКАЯ 11,,WS,,,1978,,2048756,16,2,127,8323,8259,64,,,,2048929,22728486,2,2,,22289201,28400,,42875644,58761330,45063585,0,,
84,84,1501559.0,ЗЛАТОУСТОВСКАЯ 54,,WS,,,1918,,2048798,1,4,5,246,246,0,,,,2048931,22728486,0,0,,22289204,49572,,22741963,58761330,,0,,
85,85,1501561.0,ЩЕРБАКОВСКАЯ 44А,,operator2,,,1956,,2048912,12,4,151,10989,9246,1743,0,0,,179625102,22728486,4,0,,22289201,30016,,42875644,58761330,45063584,0,,
86,86,1501564.0,КАМОВА 2,,WS,,,1927,,2048798,1,3,3,178,178,0,,,,2048931,22728486,0,0,,22289204,50333,,22741963,58761330,,0,,
88,88,1501594.0,БИРЮСИНКА 15,,404050001,,,1964,,2048752,5,4,80,3443,3416,27,,,,179625102,22728486,0,0,22289163,22289201,2225,,42875644,58761330,45063584,0,,
90,90,1501616.0,БРАТСКАЯ 5,,404120001,,,1962,,2048912,5,4,80,3454,3386,68,,,,179625102,22728486,0,0,22289162,22289205,2761,,42875644,58761330,45063584,0,,
91,91,1501618.0,"Дом по адресу Парковая 11-я ул., д.53",,operator2,,,1966,,2048755,5,5,100,4489,4489,0,,,,2048929,22728486,0,0,22289162,22289201,18822,,42875644,41321872,45058207,0,обращение МЖИ от 11.02.2022г.,
92,92,1501621.0,"Дом по адресу Парковая 16-я ул., д.21, к.2",,404030001,,,1966,,2048755,5,4,76,3545,3377,168,,,,2048929,22728486,0,0,22289163,22289201,18999,,42875644,58761330,45063584,0,,
93,93,1501627.0,ЧЕБОКСАРСКАЯ 31,,WS,,,1918,,2048798,1,2,2,205,205,0,,,,2048931,22728486,0,0,,22289204,49883,,22741963,58761330,,0,,
94,94,1501629.0,ВЕШНЯКОВСКАЯ 3,,WS,,,1972,,2048781,9,6,215,10527,10527,0,,,,2048929,22728486,6,0,,22289201,3773,,42875644,58761330,45063584,0,,
